id;word;weight
1;link;0.529050028
2;на;0.053284956
3;работе;-0.292679472
4;был;0.069605025
5;полный;-0.32820597
6;так;-0.146309196
7;каждое;-0.10432216
8;закрытие;-0.351065445
9;месяца;-0.177918462
10;я;-0.093009648
11;же;-0.177989142
12;свихнусь;-0.975476863
13;Коллеги;0.544371087
14;сидят;0.253233923
15;а;-0.153856539
16;из;-0.025858824
17;за;0.002037338
18;винды;-0.199117674
19;не;-0.291948698
20;могу;-0.705991118
21;post;0.88000254
22;как;-0.056564628
23;говорят;-0.001786697
24;три;-0.097638926
25;года;-0.170247778
26;ждут;0.323563042
27;...;-0.319646633
28;Желаю;1.33069104
29;хорошего;0.838617967
30;полёта;0.749107793
31;удачной;0.853974828
32;буду;0.004698616
33;очень;-0.076175576
34;сильно;-0.557120385
35;скучать;-1.009001046
36;Обновил;-0.590182176
37;каким;-0.008544878
38;лешим;-1.230448921
39;теперь;-0.134819299
40;работает;-0.420951272
41;Котёнка;-0.550119442
42;вчера;-0.080656195
43;носик;-0.250629974
44;разбила;-1.017047248
45;плакала;-0.796922477
46;Зашли;0.559743104
47;он;-0.021179752
48;опять;-0.836375857
49;прямо;0.144593977
50;физически;-0.923859001
51;страдаю;-0.801144428
52;когда;-0.142372535
53;долго;-0.216784687
54;молчит;-0.630812985
55;!;0.293615092
56;вообще;-0.243433427
57;болею;-0.793763603
58;выздоравливаю;-0.279540047
59;учимся;-0.299413159
60;срать;0.157248906
61;режиме;0.148639036
62;нон;-0.690340762
63;стоп;-0.118321365
64;хочу;-0.742540502
65;тобой;0.202841303
66;помириться;-0.668879476
67;но;-0.21865221
68;сука;-0.90831465
69;гордая;-0.110560821
70;никогда;-0.189893113
71;этого;-0.092827276
72;сделаю;0.571185232
73;тебя;0.205908995
74;ебет;-0.617362427
75;какие;0.193865507
76;меня;-0.246184102
77;фотки;0.178367102
78;про;0.230095357
79;твои;0.524469156
80;молчу;-0.051402607
81;ты;0.273917409
82;хоть;0.176457103
83;знаешь;0.248432565
84;ТП;0.232248029
85;выглядят;0.876010318
86;Блин;-0.930062119
87;начали;0.127408113
88;сниться;-0.470330862
